code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
3948764092800,maaza,coco-cola,"beverages-and-beverages-preparations, beverages, sweetened-beverages, cool-drink",india,,,,e,,,,,
3948764175022,Maaza,Maaza,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, sweetened-beverages",india,"multilayer-composite, tetra-pak",,,e,4.0,,"water, mango pulp (11.5%). sugar, acidity regulators (330, 331(iii)), stabilizer (466) antioxidant (300) sweetener (950), colour (110) mango flavours (nature-identical & artificial flavoring substances). steviol glycosides.",,
0867051000430,Aioli,Maazah,,united-states,,,,unknown,,,,,219.0
8718226321602,Tropical juice drink,Maaza,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices",netherlands,can,,,d,,e,,11.8,48.0
0867051000423,Original Chutney,Maazah,,united-states,,,,unknown,,,,,31.2
8901764175091,Fruit drink,Maaza,"snacks, sweet-snacks, confectioneries",india,,,,c,4.0,,"NGREDIENTS: WATER, MANGO PULP(11.5%), SUGAR, ACIDITY REGULATORS 030 33 STABILIZER (466), ANTIOXIDANT 300 ,SWEETENER (960), COLOUR (110), MANGO FLAVOURS NATURE-DENTICAL & ARTIFICIAL FLAVORING SUBSTANCES",10.7,44.0
3948764175091,maaza,Tetra Pak,"beverages, sweetened-beverages","india, united-states",,,,unknown,,,,,
8720157468479,Jus,Maaza,,netherlands,,,,unknown,4.0,,"Water, guavesap uit concentraat 17%, suiker, stabilisator (pectine), voedingszuur (citroenzuur), antioxidant (ascorbinezuur), aroma, kleurend plantenextract (wortel, zwarte bes)",,
3948764092206,Maaza,The Coca-Cola Company,"beverages-and-beverages-preparations, beverages, sweetened-beverages",india,,,,e,1.0,,mango,,
8901764792335,maaza,,,india,,,,unknown,,unknown,gdkgd,,
8720157400561,Mango Fruit Drink,Maaza,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices",netherlands,,,,unknown,4.0,e,"Water, mangopuree 17%, suiker, stabilisator (pectine), voedingszuur (citroenzuur), antioxidant (ascorbinezuur), aroma, kleurstof (bètacaroteen). Fruchtgetränk mit 17% Mangopüree, kurz erhitzt. Zutaten: Wasser, Mangopüree 17%, Zucker, Stabilisator (Pektin), Säuerungsmittel (Zitronensäure), Antioxidans (Askorbinsäure), Aroma, Farbstoff (Beta-Carotin).",10.9,192.0
3968764098305,Maaza,,,,,,,unknown,,unknown,,,
0981214092206,Maaza,,,,,,,unknown,,unknown,,,
4901280092906,Maaza,,,,,,,unknown,,unknown,,,
8720157468912,,Maaza,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, coconut-waters",netherlands,,,,c,4.0,,"Coconut water from concentrate (99,9%), aroma, antioxidant (ascorbic acid)",4.0,19.0
8720157468066,Mango,Maaza,,france,,,,unknown,,,,,
8720157468998,Guava,Maaza,,united-states,,,,unknown,,,,10.9,46.0
8720157400608,Guava juice,Maaza,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages",netherlands,,,,unknown,,,,10.8000001907349,50.0
8720157468431,maaza,,"beverages-and-beverages-preparations, beverages",france,,,,e,,,,,
