code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
3877000209040,Orangina,"Orangina sunstory france,Schweppes,Orangina","plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, sodas, fruit-sodas, orange-soft-drinks, sweetened-beverages",croatia,"glass, staklo",,"Serbia,Hrvatska",e,4.0,not-applicable,"voda, vočni sok iz koncentrata 12% (naranča 10%, limun, mandarina, grejp), šećer, pulpa naranče 2%, co2 min. 4g/l. ekstrakt kore naranče, prirodna aroma naranče, suha tvar min. 8%",8.9,39.0
54004443,Schweppes Soda Water,Schweppes,,belgium,,,,unknown,,,,,
5449000133410,Schweppes Soda Water,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, waters, sodas, carbonated-waters","france, united-kingdom",pet-bottle,,,b,3.0,,"Carbonated Water, Sodium Bicarbonate",,
9315596006468,Infused natural mineral water lime,Schweppes,"beverages, waters",australia,,"Woolworths, Coles",,unknown,1.0,not-applicable,,0.0,0.48000001907348
5410221205231,Indian Tonic Zero Sleek Cans 33CL 6-pack,Schweppes,,france,,,,unknown,,,,,
5449000044839,Bitter Lemon,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, sodas, sweetened-beverages",united-kingdom,,,,e,4.0,,"carbonated water
sugar
lemon fruit from concentrate (2 %)
citric acid
antioxidant (ascorbic acid)
preservative (potassium sorbate)
Natutal flavorings 
quinine
stabilizers (modified starch, glycerol esters of wood rosin)
sweetener (sodium saccharin, acesulfam k)
colors (copper chlorophyllin, carotenes)",,
12208223,les Eaux de thé BIO,"May Tea,Orangina Schweppes,Schweppes,Suntory","beverages-and-beverages-preparations, beverages, tea-based-beverages",france,plastic,,,c,4.0,,"boisson rafraichissante à l'infusion de thé noir avec arômes naturels de poire et d'hibiscus. Ingrédients: infusion de thé noir 72% (eau, infusion intense de thé noir*, eau, sucre*, arôme naturel de poire, aróme naturel d'hibiscus, antioxydant : acide ascorbique, arôme naturel de thé, acidifiant: acide citrique. *Issus de l'agriculture biologique.",,
8014396002601,tonic water,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, sodas, tonic-water, sweetened-beverages","germany, italy",,,,e,,,,,
01668736,Ginger Ale,Schweppes,"beverages, carbonated-drinks, sodas",canada,"can, drink-can",Dollarama,"Calgary,Alberta,Canada",e,4.0,,"Carbonated water, Sugars (sugar/glucose-fructose), Citric acid, Sodium benzoate, Caramel colour, Natural flavour",,
4000140070136,Schewppes,Schweppes,,france,,,,unknown,,,,,
9315596006864,Schweppes Creaming Soda,Schweppes,,australia,,"Woolworths, Coles",,unknown,,,1783 schweppes - traditionals - brown cream sodo,,
8014396000676,energade,schweppes,it:bevande-energetica,italy,"plastic, it:bottiglia-pet",,,b,4.0,,"Acqua minerale naturale (80%). zucchero, acidificante: acido citrico, destrosio, aroma naturale arancia con altri aromi naturali, sali minerali 0,1% (sodio cloruro, potassio fosfato monobasico, magnesio solfato), correttore di acidità: sodio citrato, antiossidante: acido ascorbico, stabilizzanti (E1450, E414), colorante:betacarotene",,
50193424,Schweppes Original Soda Water,Schweppes,,france,,,,unknown,,,,,
8014396003141,Schweppes LIMONE,Schweppes,,italy,it:bottiglia-pet,,,unknown,,,,,
9315596006369,Dry Ginger Ale,Schweppes,,australia,,,,unknown,,,,,
42358695,Agrumes schweppes,Schweppes,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-foods, legumes-and-their-products, dairy-substitutes, milk-substitutes, plant-based-beverages, carbonated-drinks, fruit-based-beverages, plant-based-milk-alternatives, sodas, fruit-sodas, legume-based-drinks, carbonated-fruit-soft-drink, soy-based-drinks, plain-soy-drink-fortified-with-calcium, sweetened-beverages",senegal,,,,e,,,,,
8414100303442,Schweppes Naranja&Lichi,,,spain,,,,unknown,,,,,
9315596006321,Schweppes Agrum Zero Sugar,Schweppes,,australia,,"Woolworths, Coles",,unknown,,,,0.0,0.478
5449000155337,Schweppes soda water,Schweppes,,cote-d-ivoire,,,,unknown,,,,,
8014396003363,Tonica zero,Schweppes,,france,,,,unknown,,,,,
5449000255617,Schweppes MANDARINE,coca cola,"beverages-and-beverages-preparations, beverages, non-alcoholic-beverages, carbonated-drinks, soft-drinks, sodas",algeria,,,,unknown,,,,,
5902860411260,The original orange,Schweppes,,france,,,,unknown,,,,,
9315596000459,lemonade,Schweppes,,australia,glass-bottle,,,unknown,,unknown,,10.8,44.694069999999996
5902860413868,Schweppes The Original Russchian,Schweppes,"beverages, carbonated-drinks, sodas",france,,,,e,4.0,,"Woda, cukier, dwutlenek węgia, kwas: kwas cytrynowy; aromaty, substancja konserwująca: sorbinian potasu; barwnik koncentraty (hibiskus, marchew). Ewentualny osad jest rezultatem wytrącania się naturalnego soku owocowego w napoju. Przechowywać w suchym, radenionym miejscu, z dala od źródła ciepła.",,
0078000032420,Club soda,Schweppes,,united-states,"unknown, aluminium-tin",,,unknown,,unknown,,0.0,0.45248868778281
9315596000404,Indian tonic water,Schweppes,,australia,,,,unknown,,unknown,,25.8,111.1
9315596006413,Schweppes Tonic,Schweppes,,"australia, france",,,,unknown,,,,,
9300624015444,Sparkling Duet Lemonade,Schweppes,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, sodas, fruit-sodas, lemon-soft-drinks",new-zealand,,,,unknown,4.0,,"carbonated water, sugar, food acids (330, 331), flavour, preservative (211)",,
4000140713170,Bitter Lemon,Schweppes,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, sodas, fruit-sodas, lemon-soft-drinks, sweetened-beverages",germany,bottle,,,e,4.0,,"Original Bitter Lemon von Schweppes Erfrischend. Fein-herb. Limonig. aus Limonensaftkonzentrat, chininhaltig Lutaten: Wasser, Zucker, Limonensaft aus Limon saftkonzentrat 3%, Kohlensäure, Säuerungsmite Citronensäure, Limonenextrakt, Antioxidationsmite Ascorbinsäure, natürliche Aromen, Aroma Chinin Erfrischungsgetränk mit 3% Limonensaft CESTELLT IN LIZENZ CHWEPPES CNAL UMITED. PES VEGAN GLAND GMBH, STRASSE 261, REUZTAL",,
07835102,GINGER ALE,Schweppes,,united-states,,,,unknown,,,,0.0,0.0
9315596000510,Dry ginger ale,Schweppes,"beverages, carbonated-drinks, sodas",australia,,,,unknown,,not-applicable,,0.0,1.7
10001404,Schweppes Indian Tonic Water,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, sodas, tonic-water, sweetened-beverages","austria, germany",,,,d,4.0,,"Wasser, Zucker, Kohlensäure, Säuerungsmittel Citronensäure, natürliches Citrusaroma mit anderen natürlichen Aromen, Aroma Chinin.",,
8014396003172,Schweppes Cedrata,,,italy,,,,unknown,,,,,
8014396003509,Gusto lime & mint pet,Schweppes,,france,,,,unknown,,,,,
5902860411284,The original Lemon,Schweppes,,france,,,,unknown,,,,,
5902860410744,Indian Tonic,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, sodas, tonic-water, sweetened-beverages","belgium, germany, poland",,,,d,,,fhgttttff34555,,
3124488188214,Jus de pomme,Schweppes,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, unsweetened-beverages, apple-juices",france,bocal-en-verre,,,unknown,,,,,
